Year,Name,Code,State,Population
2002,RHODE ISLAND,RI,44,1048319
2002,SOUTH CAROLINA,SC,45,4012012
2002,SOUTH DAKOTA,SD,46,754844
2002,TENNESSEE,TN,47,5689283
2002,TEXAS,TX,48,20851820
2002,UTAH,UT,49,2233169
2002,VERMONT,VT,50,608827
2002,VIRGINIA,VA,51,7078515
2002,WASHINGTON,WA,53,5894121
2002,WEST VIRGINIA,WV,54,1808344
2002,WISCONSIN,WI,55,5363675
2002,WYOMING,WY,56,493782
2001,ALABAMA,AL,1,4447100
2001,ALASKA,AK,2,626932
2001,ARIZONA,AZ,4,5130632
2001,ARKANSAS,AR,5,2673400
2001,CALIFORNIA,CA,6,33871648
2001,COLORADO,CO,8,4301261
2001,CONNECTICUT,CT,9,3405565
2001,DELAWARE,DE,10,783600
2001,FLORIDA,FL,12,15982378
2001,GEORGIA,GA,13,8186453
2001,HAWAII,HI,15,1211537
2001,IDAHO,ID,16,1293953
2001,ILLINOIS,IL,17,12419293
2001,INDIANA,IN,18,6080485
2001,IOWA,IA,19,2926324
2001,KANSAS,KS,20,2688418
2001,KENTUCKY,KY,21,4041769
2001,LOUISIANA,LA,22,4468976
2001,MAINE,ME,23,1274923
2001,MARYLAND,MD,24,5296486
2001,MASSACHUSETTS,MA,25,6349097
2001,MICHIGAN,MI,26,9938444
2001,MINNESOTA,MN,27,4919479
2001,MISSISSIPPI,MS,28,2844658
2001,MISSOURI,MO,29,5595211
2001,MONTANA,MT,30,902195
2001,NEBRASKA,NE,31,1711263
2001,NEVADA,NV,32,1998257
2001,NEW HAMPSHIRE,NH,33,1235786
2001,NEW JERSEY,NJ,34,8414350
2001,NEW MEXICO,NM,35,1819046
2001,NEW YORK,NY,36,18976457
2001,NORTH CAROLINA,NC,37,8049313
2001,NORTH DAKOTA,ND,38,642200
2001,OHIO,OH,39,11353140
2001,OKLAHOMA,OK,40,3450654
2001,OREGON,OR,41,3421399
2001,PENNSYLVANIA,PA,42,12281054
2001,RHODE ISLAND,RI,44,1048319
2001,SOUTH CAROLINA,SC,45,4012012
2001,SOUTH DAKOTA,SD,46,754844
2001,TENNESSEE,TN,47,5689283
2001,TEXAS,TX,48,20851820
2001,UTAH,UT,49,2233169
2001,VERMONT,VT,50,608827
2001,VIRGINIA,VA,51,7078515
2001,WASHINGTON,WA,53,5894121
2001,WEST VIRGINIA,WV,54,1808344
2001,WISCONSIN,WI,55,5363675
2001,WYOMING,WY,56,493782
2000,ALABAMA,AL,1,4447100
2000,ALASKA,AK,2,626932
2000,ARIZONA,AZ,4,5130632
2000,ARKANSAS,AR,5,2673400
2000,CALIFORNIA,CA,6,33871648
